Users,Game,Command,,,,,,,
Matthew,burke2,got new comment,Yes.,structure,Matthew_p6m152,6,,,
Matthew,burke2,got new comment,Yes.,language,Matthew_p6m151,6,,,
Juan,burke2,wrote first comments,3,,,,,,
Juan,burke2,got new comment,i feel it is a good interpretation ,meaning,Juan_p3m147,3,,,
Juan,burke2,got new comment,the structure is different, but i feel as though the message is conveyed well,structure,Juan_p3m146,3,,
Juan,burke2,got new comment,it's original, yeah!,language,Juan_p3m145,3,,
Matthew,burke2,wrote first comments,3,,,,,,
Matthew,burke2,got new comment,Yes, because the main points are hit upon,meaning,Matthew_p3m144,3,,
Matthew,burke2,got new comment,Yes, however I feel it could be interpreted slightly differently.,structure,Matthew_p3m143,3,,
Matthew,burke2,got new comment,Yes,language,Matthew_p3m142,3,,,
Kelly,burke2,wrote first comments,3,,,,,,
Kelly,burke2,got new comment,"mostly but I don't know if Burke talks about our ""identities.""",meaning,Kelly_p3m138,3,,,
Kelly,burke2,got new comment,"not sure about ""material world""",structure,Kelly_p3m137,3,,,
Kelly,burke2,got new comment,yes,language,Kelly_p3m136,3,,,
Juan,burke2,wrote first comments,2,,,,,,
Juan,burke2,got new comment,i believe it does!,meaning,Juan_p2m89,2,,,
Juan,burke2,got new comment,not really,structure,Juan_p2m88,2,,,
Juan,burke2,got new comment,yes, i believe so!,language,Juan_p2m87,2,,
Matthew,burke2,wrote first comments,2,,,,,,
Matthew,burke2,got new comment,"Somewhat... I believe the paraphrase left out Burke's line concerning ""so much... would not even exist were it not for the verbal.""",meaning,Matthew_p2m86,2,,,
Matthew,burke2,got new comment,Yes, but no mention of the symbolicity.,structure,Matthew_p2m85,2,,
Matthew,burke2,got new comment,Yes. The paraphrase utilizes many accurate summaries of Burke's original writing.,language,Matthew_p2m84,2,,,
Juan,burke2,wrote first comments,1,,,,,,
Juan,burke2,got new comment,i am actually not sure. i feel as though it is missing a little bit of Burkesque essence. ,meaning,Juan_p1m62,1,,,
Juan,burke2,got new comment,yes, i believe. ,structure,Juan_p1m61,1,,
Juan,burke2,got new comment,nope - a lot of the same terms are repeated, actually ,language,Juan_p1m60,1,,
Kelly,burke2,wrote first comments,2,,,,,,
Kelly,burke2,got new comment,yes for the first part but leaves out the meaning of the last part of the sentence,meaning,Kelly_p2m57,2,,,
Kelly,burke2,got new comment,"the ""enormous and complicated"" seems like interpretation of the original",structure,Kelly_p2m56,2,,,
Kelly,burke2,got new comment,yes,language,Kelly_p2m55,2,,,
Kelly,burke2,moved message,t_Matthew_p1m23,[object Object],,,,,
Kelly,burke2,moved message,t_Kelly_p1m27,[object Object],,,,,
Kelly,burke2,moved message,t_Kelly_p1m26,[object Object],,,,,
Kelly,burke2,moved message,t_Kelly_p1m26,[object Object],,,,,
Kelly,burke2,wrote first comments,1,,,,,,
Kelly,burke2,got new comment,yes,meaning,Kelly_p1m27,1,,,
Kelly,burke2,got new comment,yes - very concise and clear,structure,Kelly_p1m26,1,,,
Kelly,burke2,got new comment,yes,language,Kelly_p1m25,1,,,
Matthew,burke2,wrote first comments,1,,,,,,
Matthew,burke2,got new comment,yes,meaning,Matthew_p1m24,1,,,
Matthew,burke2,wrote first comments,5,,,,,,
Matthew,burke2,got new comment,Yes.,meaning,Matthew_p6m153,6,,,
Matthew,burke2,got new comment,Yes.,structure,Matthew_p6m152,6,,,
Matthew,burke2,got new comment,Yes.,language,Matthew_p6m151,6,,,
Sina,burke3,added followup,Sina_f158,margaret_p4m149,Thanks!,0,,,
margaret,burke3,wrote first comments,6,,,,,,
margaret,burke3,got new comment,y,meaning,margaret_p5m157,5,,,
margaret,burke3,got new comment,y,structure,margaret_p5m156,5,,,
margaret,burke3,got new comment,y,language,margaret_p5m155,5,,,
margaret,burke3,wrote first comments,4,,,,,,
margaret,burke3,got new comment,I don't think that Burke said much about what the world would be without words, and this would be a conclusion derived from Burke's statement, not necessarily what he said.,meaning,margaret_p4m150,4,
margaret,burke3,got new comment,A lot shorter:),structure,margaret_p4m149,4,,,
margaret,burke3,got new comment,yes,language,margaret_p4m148,4,,,
Sina,burke3,moved message,t_Sina_p6m95,[object Object],,,,,
Henry,burke3,added followup,Henry_f126,Sina_p5m83,thanks,0,,,
Henry,burke3,moved message,t_Sina_p5m83,[object Object],,,,,
Henry,burke3,added followup,Henry_f125,Sina_p5m82,thanks,0,,,
Henry,burke3,added followup,Henry_f124,Sina_p5m81,thanks,0,,,
Henry,burke3,moved message,t_Henry_p5m120,[object Object],,,,,
Henry,burke3,wrote first comments,5,,,,,,
Henry,burke3,got new comment,Congratulations! I really liked this one. Spot on! A+,meaning,Henry_p5m120,5,,,
Henry,burke3,got new comment,You did really good!,structure,Henry_p5m119,5,,,
Henry,burke3,got new comment,Nice job, who wrote this one?,language,Henry_p5m118,5,,
margaret,burke3,wrote first comments,3,,,,,,
margaret,burke3,got new comment,yes,meaning,margaret_p3m117,3,,,
margaret,burke3,got new comment,the sentence structure seems a little run-on,structure,margaret_p3m116,3,,,
margaret,burke3,got new comment,Yes, good word choices,language,margaret_p3m115,3,,
Sina,burke3,moved message,t_Sina_p1m8,[object Object],,,,,
Henry,burke3,wrote first comments,2,,,,,,
Henry,burke3,got new comment,A+,,,,,,
Henry,burke3,got new comment,Very structurally stable would highly recommend.,structure,Henry_p2m104,2,,,
Henry,burke3,got new comment,How did you know his name was Kenneth?,,,,,,
Sina,burke3,moved message,t_margaret_p1m48,[object Object],,,,,
Sina,burke3,moved message,t_Henry_p1m38,[object Object],,,,,
Sina,burke3,moved message,t_margaret_p1m46,[object Object],,,,,
Sina,burke3,moved message,t_Sina_p1m7,[object Object],,,,,
margaret,burke3,wrote first comments,2,,,,,,
margaret,burke3,got new comment,"I'm not sure what ""any clear relationship"" means",meaning,margaret_p2m99,2,,,
margaret,burke3,got new comment,yes, the sentence is kind of long and complex, but understandable,structure,margaret_p2m98,2,
margaret,burke3,got new comment,yes, nice paraphrase and citation of source,language,margaret_p2m97,2,,
Sina,burke3,moved message,t_Henry_p1m39,[object Object],,,,,
Sina,burke3,added followup,Sina_f96,Henry_p1m39,do you?,0,,,
Sina,burke3,wrote first comments,6,,,,,,
Sina,burke3,got new comment,yes,meaning,Sina_p6m95,6,,,
Sina,burke3,got new comment,i agree,structure,Sina_p6m94,6,,,
Sina,burke3,got new comment,very nice, especially of the use of the word paradoxical,language,Sina_p6m93,6,,
Sina,burke3,wrote first comments,5,,,,,,
Sina,burke3,got new comment,yes,,,,,,
Sina,burke3,got new comment,yes,structure,Sina_p5m82,5,,,
Sina,burke3,got new comment,yes,language,Sina_p5m81,5,,,
Sina,burke3,wrote first comments,4,,,,,,
Sina,burke3,got new comment,yes,,,,,,
Sina,burke3,got new comment,yes,structure,Sina_p4m76,4,,,
Sina,burke3,got new comment,yes,language,Sina_p4m75,4,,,
Sina,burke3,liked message,Sina_p1m7,,,,,,
Sina,burke3,liked message,Sina_p1m7,,,,,,
Sina,burke3,liked message,margaret_p1m47,,,,,,
Henry,burke3,moved message,t_Sina_p1m7,[object Object],,,,,
Sina,burke3,moved message,t_Sina_p1m7,[object Object],,,,,
Sina,burke3,moved message,t_Sina_p1m8,[object Object],,,,,
Henry,burke3,moved message,t_Sina_p1m7,[object Object],,,,,
Sina,burke3,moved message,t_margaret_p1m48,[object Object],,,,,
Sina,burke3,moved message,t_margaret_p1m48,[object Object],,,,,
Henry,burke3,added followup,Henry_f59,Sina_p1m7,ysis,0,,,
Sina,burke3,added followup,Sina_f58,Sina_p1m7,thanks hen,0,,,
Henry,burke3,added followup,Henry_f54,Sina_p1m7,Good job Sina,0,,,
Henry,burke3,moved message,t_Henry_p1m38,[object Object],,,,,
Sina,burke3,added followup,Sina_f50,margaret_p1m46,NICE!,0,,,
Henry,burke3,moved message,t_Henry_p1m38,[object Object],,,,,
Sina,burke3,liked message,margaret_p1m46,,,,,,
Henry,burke3,added followup,Henry_f49,Sina_p1m7,Nice, Highly approve,0,,
Sina,burke3,moved message,t_margaret_p1m46,[object Object],,,,,
Sina,burke3,liked message,Henry_p1m38,,,,,,
margaret,burke3,wrote first comments,1,,,,,,
margaret,burke3,got new comment,"I think that Burke is not necessarily saying the the relationship is not ""smooth."" I would use something like ironic or self-contradictory. ",meaning,margaret_p1m48,1,,,
margaret,burke3,got new comment,yes,structure,margaret_p1m47,1,,,
margaret,burke3,got new comment,yes,language,margaret_p1m46,1,,,
Sina,burke3,liked message,Henry_p1m38,,,,,,
Sina,burke3,moved message,t_Henry_p1m38,[object Object],,,,,
Sina,burke3,moved message,t_Henry_p1m39,[object Object],,,,,
Henry,burke3,liked message,Sina_p1m7,,,,,,
Henry,burke3,wrote first comments,1,,,,,,
Henry,burke3,got new comment,I suppose so, but I do not know what Burke meant in the first place?,meaning,Henry_p1m39,1,,
Henry,burke3,got new comment,The author's structure conveys the idea but in new words so yea.,structure,Henry_p1m38,1,,,
Henry,burke3,got new comment,Yea I guess, the author of this paraphrase uses some new language.,language,Henry_p1m37,1,,
margaret,burke3,wrote first comments,4,,,,,,
margaret,burke3,got new comment,I don't think that Burke said much about what the world would be without words, and this would be a conclusion derived from Burke's statement, not necessarily what he said.,meaning,margaret_p4m150,4,
Alec,burke4,liked message,Alec_p4m102,,,,,,
Alec,burke4,liked message,Alec_p4m102,,,,,,
allan,burke4,wrote first comments,3,,,,,,
allan,burke4,got new comment,"Nice! Not sure I'd describe ""nonverbal"" as ""the material world"," though. Perhaps more detail could be included about how exactly symbolic representation constitutes our identities.""",meaning,allan_p3m141,3,,
allan,burke4,got new comment,Yes.,structure,allan_p3m140,3,,,
allan,burke4,got new comment,Yes.,language,allan_p3m139,3,,,
alexander,burke4,wrote first comments,1,,,,,,
alexander,burke4,got new comment,Yes, it very accurately reflects the original meaning of the passage by Burke,meaning,alexander_p1m114,1,,
alexander,burke4,got new comment,Wording of the writer is original and still accurately conveys the original idea,structure,alexander_p1m113,1,,,
alexander,burke4,got new comment,The structure is not sufficiently new but the language and wording is novel enough to be considered original. ,language,alexander_p1m112,1,,,
allan,burke4,wrote first comments,2,,,,,,
allan,burke4,got new comment,Mostly -- left out the generalization to all symbolicity," and I think the idea that words define parts of ourselves that ""would not even exist were it not for the verbal"" seems to be missing.",meaning,allan_p2m108,2,,
allan,burke4,got new comment,yes.,structure,allan_p2m107,2,,,
allan,burke4,got new comment,"Mostly -- ""entanglement"" borrows a little from ""tangled in its own traces.""",language,allan_p2m106,2,,,
Alec,burke4,wrote first comments,4,,,,,,
Alec,burke4,got new comment,fabulous,meaning,Alec_p4m102,4,,,
Alec,burke4,got new comment,yup,structure,Alec_p4m101,4,,,
Alec,burke4,got new comment,yup,language,Alec_p4m100,4,,,
Alec,burke4,wrote first comments,5,,,,,,
Alec,burke4,got new comment,Yes, but the last of the meaning is left out,meaning,Alec_p5m68,5,,
Alec,burke4,got new comment,Yup,structure,Alec_p5m67,5,,,
Alec,burke4,got new comment,Yes,language,Alec_p5m66,5,,,
Alec,burke4,wrote first comments,3,,,,,,
Alec,burke4,got new comment,To an extentâ€“the wording is a little bombastic (like Burke's.),meaning,Alec_p3m42,3,,,
Alec,burke4,got new comment,Yes,structure,Alec_p3m41,3,,,
Alec,burke4,got new comment,Yes,language,Alec_p3m40,3,,,
allan,burke4,wrote first comments,1,,,,,,
allan,burke4,got new comment,"I'm not sure about ""relationship is not smooth"" -- that's an interesting way to phrase Burke's idea", but otherwise it's a nice, succinct summary of Burke's passage. Nice job.,meaning,allan_p1m36,1,
allan,burke4,got new comment,Yes.,structure,allan_p1m35,1,,,
allan,burke4,got new comment,Yes.,language,allan_p1m34,1,,,
